split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active_not_toxic,LogP,0,1,0_1,0.5427307065766683
chemical,is_active_not_toxic,MorganFP,0,1,0_1,0.5141299479589856
chemical,is_active_not_toxic,CLOOME,0,1,0_1,0.71353561817036
chemical,is_active_not_toxic,CellCLIP,0,1,0_1,0.5953771487231521
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,1,0_1,0.4992201774864151
chemical,is_active_not_toxic,Morphology,0,2,0_2,0.7702782943460246
chemical,is_active_not_toxic,PhysChem,0,2,0_2,0.5590535382206127
chemical,is_active_not_toxic,LogP,0,2,0_2,0.5925475514665101
chemical,is_active_not_toxic,MorganFP,0,2,0_2,0.49782388829075724
chemical,is_active_not_toxic,CLOOME,0,2,0_2,0.7006182506280383
chemical,is_active_not_toxic,CellCLIP,0,2,0_2,0.6360037192913771
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,2,0_2,0.5011639098234968
chemical,is_active_not_toxic,Morphology,0,3,0_3,0.7938540094925426
chemical,is_active_not_toxic,PhysChem,0,3,0_3,0.5259980433669633
chemical,is_active_not_toxic,LogP,0,3,0_3,0.49279779937921675
chemical,is_active_not_toxic,MorganFP,0,3,0_3,0.4917806205466745
chemical,is_active_not_toxic,CLOOME,0,3,0_3,0.7320257572659855
chemical,is_active_not_toxic,CellCLIP,0,3,0_3,0.6198268768385677
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,3,0_3,0.5193931396187775
chemical,is_active_not_toxic,Morphology,0,4,0_4,0.7723518404818293
chemical,is_active_not_toxic,PhysChem,0,4,0_4,0.533137626816361
chemical,is_active_not_toxic,LogP,0,4,0_4,0.521154028886355
chemical,is_active_not_toxic,MorganFP,0,4,0_4,0.5452144183258778
chemical,is_active_not_toxic,CLOOME,0,4,0_4,0.7173575782826068
chemical,is_active_not_toxic,CellCLIP,0,4,0_4,0.6092566807005233
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,4,0_4,0.554720163435956
chemical,is_active,Morphology,1,0,1_0,0.7792877985518211
chemical,is_active,PhysChem,1,0,1_0,0.6103951271059236
chemical,is_active,LogP,1,0,1_0,0.6193366715899948
chemical,is_active,MorganFP,1,0,1_0,0.5735902470069767
chemical,is_active,CLOOME,1,0,1_0,0.6877469169158351
chemical,is_active,CellCLIP,1,0,1_0,0.6247073021362441
chemical,is_active,MLP_CLOOME_arch,1,0,1_0,0.5855758492741093
chemical,is_active,Morphology,1,1,1_1,0.7480481724329267
chemical,is_active,PhysChem,1,1,1_1,0.6016317981822019
chemical,is_active,LogP,1,1,1_1,0.5796752033886383
chemical,is_active,MorganFP,1,1,1_1,0.528160501835252
chemical,is_active,CLOOME,1,1,1_1,0.6598062890919085
chemical,is_active,CellCLIP,1,1,1_1,0.5712036074618818
chemical,is_active,MLP_CLOOME_arch,1,1,1_1,0.5439705005066806
chemical,is_active,Morphology,1,2,1_2,0.7827104214466851
chemical,is_active,PhysChem,1,2,1_2,0.5922563700036227
chemical,is_active,LogP,1,2,1_2,0.6031729259751237
chemical,is_active,MorganFP,1,2,1_2,0.5386321096485931
chemical,is_active,CLOOME,1,2,1_2,0.6900283782151914
chemical,is_active,CellCLIP,1,2,1_2,0.6086191281246227
chemical,is_active,MLP_CLOOME_arch,1,2,1_2,0.5862124139596667
chemical,is_active,Morphology,1,3,1_3,0.770634882753636
chemical,is_active,PhysChem,1,3,1_3,0.5646934684331467
chemical,is_active,LogP,1,3,1_3,0.605920617495244
chemical,is_active,MorganFP,1,3,1_3,0.5616267890383685
chemical,is_active,CLOOME,1,3,1_3,0.6942934875253142
chemical,is_active,CellCLIP,1,3,1_3,0.5871659723027198
chemical,is_active,MLP_CLOOME_arch,1,3,1_3,0.5422789229290113
chemical,is_active,Morphology,1,4,1_4,0.759008666243923
chemical,is_active,PhysChem,1,4,1_4,0.663987529063623
chemical,is_active,LogP,1,4,1_4,0.65644155569647
chemical,is_active,MorganFP,1,4,1_4,0.5705844430352991
chemical,is_active,CLOOME,1,4,1_4,0.7012534347917987
chemical,is_active,CellCLIP,1,4,1_4,0.6567892623124075
chemical,is_active,MLP_CLOOME_arch,1,4,1_4,0.5249207355738744
chemical,is_active_and_toxic,Morphology,1,0,1_0,0.9801582259717598
chemical,is_active_and_toxic,PhysChem,1,0,1_0,0.673409058182773
chemical,is_active_and_toxic,LogP,1,0,1_0,0.5698951371771741
chemical,is_active_and_toxic,MorganFP,1,0,1_0,0.5751086321246157
chemical,is_active_and_toxic,CLOOME,1,0,1_0,0.9029341261572603
chemical,is_active_and_toxic,CellCLIP,1,0,1_0,0.7730202695262539
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,0,1_0,0.5626974648269085
chemical,is_active_and_toxic,Morphology,1,1,1_1,0.9681483806580388
chemical,is_active_and_toxic,PhysChem,1,1,1_1,0.703355386002189
chemical,is_active_and_toxic,LogP,1,1,1_1,0.5508197315047324
chemical,is_active_and_toxic,MorganFP,1,1,1_1,0.5472281243963686
chemical,is_active_and_toxic,CLOOME,1,1,1_1,0.8832375571437769
chemical,is_active_and_toxic,CellCLIP,1,1,1_1,0.7733001738458568
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,1,1_1,0.46963331401712705
chemical,is_active_and_toxic,Morphology,1,2,1_2,0.9700572766420001
chemical,is_active_and_toxic,PhysChem,1,2,1_2,0.6270245411597475
chemical,is_active_and_toxic,LogP,1,2,1_2,0.6276809231155148
chemical,is_active_and_toxic,MorganFP,1,2,1_2,0.5680797692211212
chemical,is_active_and_toxic,CLOOME,1,2,1_2,0.9130147581420629
chemical,is_active_and_toxic,CellCLIP,1,2,1_2,0.7665370625862284
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,2,1_2,0.553706258622852
chemical,is_active_and_toxic,Morphology,1,3,1_3,0.9587916021737797
chemical,is_active_and_toxic,PhysChem,1,3,1_3,0.6367732191439891
chemical,is_active_and_toxic,LogP,1,3,1_3,0.5814008195994735
chemical,is_active_and_toxic,MorganFP,1,3,1_3,0.5856539408279181
chemical,is_active_and_toxic,CLOOME,1,3,1_3,0.8987245750288088
chemical,is_active_and_toxic,CellCLIP,1,3,1_3,0.744562141595696
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,3,1_3,0.491669337297231
chemical,is_active_and_toxic,Morphology,1,4,1_4,0.9749941023826375
chemical,is_active_and_toxic,PhysChem,1,4,1_4,0.690935362113706
chemical,is_active_and_toxic,LogP,1,4,1_4,0.5955005716152213
chemical,is_active_and_toxic,MorganFP,1,4,1_4,0.641830892627071
chemical,is_active_and_toxic,CLOOME,1,4,1_4,0.8919511132886928
chemical,is_active_and_toxic,CellCLIP,1,4,1_4,0.7938238336327508
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,4,1_4,0.5787059720180739
chemical,is_active_not_toxic,Morphology,1,0,1_0,0.7945317374780192
chemical,is_active_not_toxic,PhysChem,1,0,1_0,0.5390852194301058
chemical,is_active_not_toxic,LogP,1,0,1_0,0.5439588178569403
chemical,is_active_not_toxic,MorganFP,1,0,1_0,0.5412502127176811
chemical,is_active_not_toxic,CLOOME,1,0,1_0,0.7247168491311665
chemical,is_active_not_toxic,CellCLIP,1,0,1_0,0.6183201921077014
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,0,1_0,0.5256159358632557
chemical,is_active_not_toxic,Morphology,1,1,1_1,0.7903981887258476
chemical,is_active_not_toxic,PhysChem,1,1,1_1,0.5360342358258364
chemical,is_active_not_toxic,LogP,1,1,1_1,0.5307993790897318
chemical,is_active_not_toxic,MorganFP,1,1,1_1,0.5047383000437382
chemical,is_active_not_toxic,CLOOME,1,1,1_1,0.6667435657744656
chemical,is_active_not_toxic,CellCLIP,1,1,1_1,0.5894796874865998
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,1,1_1,0.5087081807500664
chemical,is_active_not_toxic,Morphology,1,2,1_2,0.7860669774880802
chemical,is_active_not_toxic,PhysChem,1,2,1_2,0.5179344710000604
chemical,is_active_not_toxic,LogP,1,2,1_2,0.5068557999879293
chemical,is_active_not_toxic,MorganFP,1,2,1_2,0.5409509098316133
chemical,is_active_not_toxic,CLOOME,1,2,1_2,0.7102910555857324
chemical,is_active_not_toxic,CellCLIP,1,2,1_2,0.6004643460679583
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,2,1_2,0.5328361699559419
chemical,is_active_not_toxic,Morphology,1,3,1_3,0.7770222575165994
chemical,is_active_not_toxic,PhysChem,1,3,1_3,0.5454268046088574
chemical,is_active_not_toxic,LogP,1,3,1_3,0.5132206854462165
chemical,is_active_not_toxic,MorganFP,1,3,1_3,0.5350590813167744
chemical,is_active_not_toxic,CLOOME,1,3,1_3,0.7150190442576784
chemical,is_active_not_toxic,CellCLIP,1,3,1_3,0.6097057698953668
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,3,1_3,0.5141627879616761
chemical,is_active_not_toxic,Morphology,1,4,1_4,0.7565354266706683
chemical,is_active_not_toxic,PhysChem,1,4,1_4,0.5457057823129252
chemical,is_active_not_toxic,LogP,1,4,1_4,0.5827854579331733
chemical,is_active_not_toxic,MorganFP,1,4,1_4,0.5156609518807522
chemical,is_active_not_toxic,CLOOME,1,4,1_4,0.7006443202280913
chemical,is_active_not_toxic,CellCLIP,1,4,1_4,0.6360278486394557
chemical,is_active_not_toxic,MLP_CLOOME_arch,1,4,1_4,0.5551454956982793
chemical,is_active,Morphology,2,0,2_0,0.7747807713223964
chemical,is_active,PhysChem,2,0,2_0,0.5652134505574187
chemical,is_active,LogP,2,0,2_0,0.5919429212362911
chemical,is_active,MorganFP,2,0,2_0,0.570730988851627
chemical,is_active,CLOOME,2,0,2_0,0.6747555628568839
chemical,is_active,CellCLIP,2,0,2_0,0.5878911560772229
chemical,is_active,MLP_CLOOME_arch,2,0,2_0,0.5679679710867398
chemical,is_active,Morphology,2,1,2_1,0.7526171628970733
chemical,is_active,PhysChem,2,1,2_1,0.6793951910743393
chemical,is_active,LogP,2,1,2_1,0.6542059790375871
chemical,is_active,MorganFP,2,1,2_1,0.5435360313703826
chemical,is_active,CLOOME,2,1,2_1,0.6929816301634433
chemical,is_active,CellCLIP,2,1,2_1,0.6804874629370394
chemical,is_active,MLP_CLOOME_arch,2,1,2_1,0.5106967313450638
chemical,is_active,Morphology,2,2,2_2,0.7482544567980218
chemical,is_active,PhysChem,2,2,2_2,0.5866892604568326
chemical,is_active,LogP,2,2,2_2,0.6002247851572632
chemical,is_active,MorganFP,2,2,2_2,0.5308854806079574
chemical,is_active,CLOOME,2,2,2_2,0.6839416941884391
chemical,is_active,CellCLIP,2,2,2_2,0.5972887451800875
chemical,is_active,MLP_CLOOME_arch,2,2,2_2,0.5762350215275016
chemical,is_active,Morphology,2,3,2_3,0.7723704866562009
chemical,is_active,PhysChem,2,3,2_3,0.6414696414696415
chemical,is_active,LogP,2,3,2_3,0.6553882625311197
chemical,is_active,MorganFP,2,3,2_3,0.5968727040155611
chemical,is_active,CLOOME,2,3,2_3,0.7162572876858592
chemical,is_active,CellCLIP,2,3,2_3,0.6292860578574865
chemical,is_active,MLP_CLOOME_arch,2,3,2_3,0.5926150569007711
chemical,is_active,Morphology,2,4,2_4,0.7537237059505315
chemical,is_active,PhysChem,2,4,2_4,0.589088431851249
chemical,is_active,LogP,2,4,2_4,0.5757502897585756
chemical,is_active,MorganFP,2,4,2_4,0.5503917905846958
chemical,is_active,CLOOME,2,4,2_4,0.6971283075633153
chemical,is_active,CellCLIP,2,4,2_4,0.5710185938694483
chemical,is_active,MLP_CLOOME_arch,2,4,2_4,0.5417082809301867
chemical,is_active_and_toxic,Morphology,2,0,2_0,0.96759037755754
chemical,is_active_and_toxic,PhysChem,2,0,2_0,0.6747552042317351
chemical,is_active_and_toxic,LogP,2,0,2_0,0.5401331332372477
chemical,is_active_and_toxic,MorganFP,2,0,2_0,0.5872379310857194
chemical,is_active_and_toxic,CLOOME,2,0,2_0,0.8755664848962126
chemical,is_active_and_toxic,CellCLIP,2,0,2_0,0.7667954413753139
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,0,2_0,0.5303591328509235
chemical,is_active_and_toxic,Morphology,2,1,2_1,0.9729055258467024
chemical,is_active_and_toxic,PhysChem,2,1,2_1,0.6753487819370172
chemical,is_active_and_toxic,LogP,2,1,2_1,0.6301556743909685
chemical,is_active_and_toxic,MorganFP,2,1,2_1,0.542559714795009
chemical,is_active_and_toxic,CLOOME,2,1,2_1,0.8779108734402852
chemical,is_active_and_toxic,CellCLIP,2,1,2_1,0.808149732620321
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,1,2_1,0.5449055258467024
chemical,is_active_and_toxic,Morphology,2,2,2_2,0.9757323922282939
chemical,is_active_and_toxic,PhysChem,2,2,2_2,0.700946164743979
chemical,is_active_and_toxic,LogP,2,2,2_2,0.6085243371787088
chemical,is_active_and_toxic,MorganFP,2,2,2_2,0.5269281690615935
chemical,is_active_and_toxic,CLOOME,2,2,2_2,0.9133588848411253
chemical,is_active_and_toxic,CellCLIP,2,2,2_2,0.8129827801389731
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,2,2_2,0.47442530189570264
chemical,is_active_and_toxic,Morphology,2,3,2_3,0.9671519422315578
chemical,is_active_and_toxic,PhysChem,2,3,2_3,0.6626939569640593
chemical,is_active_and_toxic,LogP,2,3,2_3,0.5766583743913889
chemical,is_active_and_toxic,MorganFP,2,3,2_3,0.5298812300961194
chemical,is_active_and_toxic,CLOOME,2,3,2_3,0.8900241024499318
chemical,is_active_and_toxic,CellCLIP,2,3,2_3,0.7656254537358798
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,3,2_3,0.576271186440678
chemical,is_active_and_toxic,Morphology,2,4,2_4,0.9726459779501837
chemical,is_active_and_toxic,PhysChem,2,4,2_4,0.6700959575336873
chemical,is_active_and_toxic,LogP,2,4,2_4,0.5965149040424663
chemical,is_active_and_toxic,MorganFP,2,4,2_4,0.5603123723968967
chemical,is_active_and_toxic,CLOOME,2,4,2_4,0.8899918334013883
chemical,is_active_and_toxic,CellCLIP,2,4,2_4,0.7578766843609638
chemical,is_active_and_toxic,MLP_CLOOME_arch,2,4,2_4,0.5247366271947734
chemical,is_active_not_toxic,Morphology,2,0,2_0,0.7849556974968965
chemical,is_active_not_toxic,PhysChem,2,0,2_0,0.5333231871168416
chemical,is_active_not_toxic,LogP,2,0,2_0,0.5300518249714242
chemical,is_active_not_toxic,MorganFP,2,0,2_0,0.5351003603492201
chemical,is_active_not_toxic,CLOOME,2,0,2_0,0.7014998961598156
chemical,is_active_not_toxic,CellCLIP,2,0,2_0,0.584517190702895
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,0,2_0,0.5251317026461015
chemical,is_active_not_toxic,Morphology,2,1,2_1,0.7650430872986137
chemical,is_active_not_toxic,PhysChem,2,1,2_1,0.5347867490945422
chemical,is_active_not_toxic,LogP,2,1,2_1,0.5723023604346198
chemical,is_active_not_toxic,MorganFP,2,1,2_1,0.528197983014862
chemical,is_active_not_toxic,CLOOME,2,1,2_1,0.6781027538403896
chemical,is_active_not_toxic,CellCLIP,2,1,2_1,0.6502692956163357
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,1,2_1,0.552395560134882
chemical,is_active_not_toxic,Morphology,2,2,2_2,0.7866775351437929
chemical,is_active_not_toxic,PhysChem,2,2,2_2,0.5365125671874138
chemical,is_active_not_toxic,LogP,2,2,2_2,0.5066252765639269
chemical,is_active_not_toxic,MorganFP,2,2,2_2,0.5140340232364773
chemical,is_active_not_toxic,CLOOME,2,2,2_2,0.7303340830948193
chemical,is_active_not_toxic,CellCLIP,2,2,2_2,0.6002004130838487
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,2,2_2,0.483933244669441
chemical,is_active_not_toxic,Morphology,2,3,2_3,0.7708762090965219
chemical,is_active_not_toxic,PhysChem,2,3,2_3,0.5486036588951283
chemical,is_active_not_toxic,LogP,2,3,2_3,0.5789339737747332
chemical,is_active_not_toxic,MorganFP,2,3,2_3,0.542425873930556
chemical,is_active_not_toxic,CLOOME,2,3,2_3,0.7194381559991767
chemical,is_active_not_toxic,CellCLIP,2,3,2_3,0.5958126304648224
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,3,2_3,0.5122315364713492
chemical,is_active_not_toxic,Morphology,2,4,2_4,0.7735177506045743
chemical,is_active_not_toxic,PhysChem,2,4,2_4,0.5185522814625012
chemical,is_active_not_toxic,LogP,2,4,2_4,0.5017767661529364
chemical,is_active_not_toxic,MorganFP,2,4,2_4,0.5125539189301878
chemical,is_active_not_toxic,CLOOME,2,4,2_4,0.7107727937776227
chemical,is_active_not_toxic,CellCLIP,2,4,2_4,0.6074057508471621
chemical,is_active_not_toxic,MLP_CLOOME_arch,2,4,2_4,0.5229766660854667
chemical,is_active,Morphology,3,0,3_0,0.7804666263968589
chemical,is_active,PhysChem,3,0,3_0,0.5962494165453996
chemical,is_active,LogP,3,0,3_0,0.5930421322863184
chemical,is_active,MorganFP,3,0,3_0,0.5384753988083797
chemical,is_active,CLOOME,3,0,3_0,0.6687213420828643
chemical,is_active,CellCLIP,3,0,3_0,0.5904835122594108
chemical,is_active,MLP_CLOOME_arch,3,0,3_0,0.5816939403091623
chemical,is_active,Morphology,3,1,3_1,0.761748942850784
chemical,is_active,PhysChem,3,1,3_1,0.612563083086214
chemical,is_active,LogP,3,1,3_1,0.6212172704798224
chemical,is_active,MorganFP,3,1,3_1,0.5179189047753672
chemical,is_active,CLOOME,3,1,3_1,0.695103429193559
chemical,is_active,CellCLIP,3,1,3_1,0.5824531275376092
chemical,is_active,MLP_CLOOME_arch,3,1,3_1,0.5378393253493254
chemical,is_active,Morphology,3,2,3_2,0.7633575052561343
chemical,is_active,PhysChem,3,2,3_2,0.614608905842807
chemical,is_active,LogP,3,2,3_2,0.6351046820510884
chemical,is_active,MorganFP,3,2,3_2,0.5784360010575216
chemical,is_active,CLOOME,3,2,3_2,0.7255133386209415
chemical,is_active,CellCLIP,3,2,3_2,0.626348654807317
chemical,is_active,MLP_CLOOME_arch,3,2,3_2,0.6045341239566416
chemical,is_active,Morphology,3,3,3_3,0.7514020256131246
chemical,is_active,PhysChem,3,3,3_3,0.6633001898736965
chemical,is_active,LogP,3,3,3_3,0.6372993880868573
chemical,is_active,MorganFP,3,3,3_3,0.595073416360857
chemical,is_active,CLOOME,3,3,3_3,0.7039380068988912
chemical,is_active,CellCLIP,3,3,3_3,0.6440440894653139
chemical,is_active,MLP_CLOOME_arch,3,3,3_3,0.5321970281021882
chemical,is_active,Morphology,3,4,3_4,0.7373779032422452
chemical,is_active,PhysChem,3,4,3_4,0.608332800030339
chemical,is_active,LogP,3,4,3_4,0.5944396644694583
chemical,is_active,MorganFP,3,4,3_4,0.5650961486042868
chemical,is_active,CLOOME,3,4,3_4,0.6817224027551618
chemical,is_active,CellCLIP,3,4,3_4,0.6256260384594416
chemical,is_active,MLP_CLOOME_arch,3,4,3_4,0.5827520330695262
chemical,is_active_and_toxic,Morphology,3,0,3_0,0.9862633169510668
chemical,is_active_and_toxic,PhysChem,3,0,3_0,0.5988823136935106
chemical,is_active_and_toxic,LogP,3,0,3_0,0.5596608129499854
chemical,is_active_and_toxic,MorganFP,3,0,3_0,0.6133625219677907
chemical,is_active_and_toxic,CLOOME,3,0,3_0,0.9014970804097456
chemical,is_active_and_toxic,CellCLIP,3,0,3_0,0.7603799174054677
chemical,is_active_and_toxic,MLP_CLOOME_arch,3,0,3_0,0.5113185907471447
chemical,is_active_and_toxic,Morphology,3,1,3_1,0.9828170602045112
chemical,is_active_and_toxic,PhysChem,3,1,3_1,0.7344458002411892
chemical,is_active_and_toxic,LogP,3,1,3_1,0.5581083781103048
chemical,is_active_and_toxic,MorganFP,3,1,3_1,0.616760858861559
chemical,is_active_and_toxic,CLOOME,3,1,3_1,0.9266282048537524
chemical,is_active_and_toxic,CellCLIP,3,1,3_1,0.8140685319575565
chemical,is_active_and_toxic,MLP_CLOOME_arch,3,1,3_1,0.5523783529210284
chemical,is_active_and_toxic,Morphology,3,2,3_2,0.976180110182689
chemical,is_active_and_toxic,PhysChem,3,2,3_2,0.6632499706960933
chemical,is_active_and_toxic,LogP,3,2,3_2,0.6311287027579162
chemical,is_active_and_toxic,MorganFP,3,2,3_2,0.54168899345267
chemical,is_active_and_toxic,CLOOME,3,2,3_2,0.9143049113347511
chemical,is_active_and_toxic,CellCLIP,3,2,3_2,0.7955487365829971
chemical,is_active_and_toxic,MLP_CLOOME_arch,3,2,3_2,0.5589238768231217
