group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CLOOME,CellCLIP,0.08377200221093739,0.0630769128063441,0.10446709161553068,0.001,True,3.1248364903738683,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CLOOME,CellCount,0.12709955115339044,0.10640446174879716,0.14779464055798375,0.001,True,6.767780967524707,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CLOOME,LogP,0.0874218093031941,0.06672671989860081,0.10811689870778739,0.001,True,3.5924748163639912,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CLOOME,MLP_CLOOME_arch,0.11547915301912703,0.09478406361453375,0.13617424242372034,0.001,True,4.151653688196865,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CLOOME,MorganFP,0.14346665792121538,0.12277156851662209,0.16416174732580868,0.001,True,4.693667992247673,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CLOOME,Morphology,-0.0576424346168527,-0.07833752402144599,-0.03694734521225941,0.001,True,-3.2235503590388106,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CLOOME,PhysChem,0.08214995455438256,0.061454865149789276,0.10284504395897585,0.001,True,2.9273671529616454,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCLIP,CellCount,0.043327548942453054,0.022632459537859764,0.06402263834704634,0.001,True,1.6284342203030964,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCLIP,LogP,0.003649807092256707,-0.017045282312336582,0.024344896496849996,0.9,False,0.1185770139866738,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCLIP,MLP_CLOOME_arch,0.031707150808189644,0.011012061403596354,0.05240224021278293,0.001,True,0.9436817549329305,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCLIP,MorganFP,0.05969465571027799,0.0389995663056847,0.08038974511487128,0.001,True,1.6623495512927267,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCLIP,Morphology,-0.1414144368277901,-0.1621095262323834,-0.1207193474231968,0.001,True,-5.443093263114164,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCLIP,PhysChem,-0.0016220476565548259,-0.022317137061148115,0.019073041748038463,0.9,False,-0.047983031830639934,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCount,LogP,-0.039677741850196346,-0.060372831254789636,-0.018982652445603057,0.001,True,-1.645528106298402,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCount,MLP_CLOOME_arch,-0.01162039813426341,-0.0323154875388567,0.00907469127032988,0.6299982500310348,False,-0.42070881792451015,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCount,MorganFP,0.016367106767824935,-0.004327982636768354,0.037062196172418224,0.22360455781732635,False,0.5385800431376899,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCount,Morphology,-0.18474198577024314,-0.20543707517483645,-0.16404689636564984,0.001,True,-10.50982439562189,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
CellCount,PhysChem,-0.04494959659900788,-0.06564468600360117,-0.02425450719441459,0.001,True,-1.6128163900858707,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
LogP,MLP_CLOOME_arch,0.028057343715932936,0.007362254311339647,0.048752433120526226,0.00174542627694807,True,0.8861858703475687,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
LogP,MorganFP,0.05604484861802128,0.03534975921342799,0.07673993802261457,0.001,True,1.6434099910334652,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
LogP,Morphology,-0.1450642439200468,-0.1657593333246401,-0.12436915451545351,0.001,True,-6.194164814429259,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
LogP,PhysChem,-0.005271854748811533,-0.025966944153404822,0.015423234655781756,0.9,False,-0.16537352405146552,False,0.37869928774102485,63.62148034049218,chemical,is_active,25
