split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active_not_toxic,Morphology,0,0,0_0,0.7345381007701905
chemical,is_active_not_toxic,PhysChem,0,0,0_0,0.6126242416419259
chemical,is_active_not_toxic,LogP,0,0,0_0,0.5860978443268361
chemical,is_active_not_toxic,MorganFP,0,0,0_0,0.548569338668732
chemical,is_active_not_toxic,CLOOME,0,0,0_0,0.5276451099350286
chemical,is_active_not_toxic,CellCLIP,0,0,0_0,0.5902241727980724
chemical,is_active_not_toxic,CellCount,0,0,0_0,0.5458026763048062
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,0,0_0,0.5873499419129986
chemical,is_active_not_toxic,Morphology,0,1,0_1,0.796029018709431
chemical,is_active_not_toxic,PhysChem,0,1,0_1,0.6343751704576448
chemical,is_active_not_toxic,LogP,0,1,0_1,0.6186657939235258
chemical,is_active_not_toxic,MorganFP,0,1,0_1,0.5290132547864507
chemical,is_active_not_toxic,CLOOME,0,1,0_1,0.5384552446408117
chemical,is_active_not_toxic,CellCLIP,0,1,0_1,0.5838869797632684
chemical,is_active_not_toxic,CellCount,0,1,0_1,0.5707085583374243
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,1,0_1,0.6011400207276497
chemical,is_active_not_toxic,Morphology,0,2,0_2,0.7217435173040057
chemical,is_active_not_toxic,PhysChem,0,2,0_2,0.6828574311371205
chemical,is_active_not_toxic,LogP,0,2,0_2,0.6295631116940773
chemical,is_active_not_toxic,MorganFP,0,2,0_2,0.5293360912117848
chemical,is_active_not_toxic,CLOOME,0,2,0_2,0.5633538492583997
chemical,is_active_not_toxic,CellCLIP,0,2,0_2,0.6015437392795884
chemical,is_active_not_toxic,CellCount,0,2,0_2,0.5866713752396328
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,2,0_2,0.6452123902734334
chemical,is_active_not_toxic,Morphology,0,3,0_3,0.780403963243389
chemical,is_active_not_toxic,PhysChem,0,3,0_3,0.6570918241254577
chemical,is_active_not_toxic,LogP,0,3,0_3,0.6149037273360444
chemical,is_active_not_toxic,MorganFP,0,3,0_3,0.5212372778539173
chemical,is_active_not_toxic,CLOOME,0,3,0_3,0.5805904423824396
chemical,is_active_not_toxic,CellCLIP,0,3,0_3,0.5745467208879103
chemical,is_active_not_toxic,CellCount,0,3,0_3,0.5570446426565414
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,3,0_3,0.587252016446112
chemical,is_active_not_toxic,Morphology,0,4,0_4,0.7746057298085871
chemical,is_active_not_toxic,PhysChem,0,4,0_4,0.5735090675855824
chemical,is_active_not_toxic,LogP,0,4,0_4,0.5480104132605579
chemical,is_active_not_toxic,MorganFP,0,4,0_4,0.5283094800915562
chemical,is_active_not_toxic,CLOOME,0,4,0_4,0.49879266544256357
chemical,is_active_not_toxic,CellCLIP,0,4,0_4,0.6014538320295797
chemical,is_active_not_toxic,CellCount,0,4,0_4,0.5641019191588902
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,4,0_4,0.5813064366023593
chemical,is_active,Morphology,1,0,1_0,0.8999725938660088
chemical,is_active,PhysChem,1,0,1_0,0.7783840346812169
chemical,is_active,LogP,1,0,1_0,0.6160749433191319
chemical,is_active,MorganFP,1,0,1_0,0.6978797618157809
chemical,is_active,CLOOME,1,0,1_0,0.6451304282831303
chemical,is_active,CellCLIP,1,0,1_0,0.7174028950843362
chemical,is_active,CellCount,1,0,1_0,0.8318210130303709
chemical,is_active,MLP_CLOOME_arch,1,0,1_0,0.7387398161297556
chemical,is_active,Morphology,1,1,1_1,0.9177576891105571
chemical,is_active,PhysChem,1,1,1_1,0.7628896508728179
chemical,is_active,LogP,1,1,1_1,0.6364479426433916
chemical,is_active,MorganFP,1,1,1_1,0.7101646924355778
chemical,is_active,CLOOME,1,1,1_1,0.6648742726517041
chemical,is_active,CellCLIP,1,1,1_1,0.7355829177057356
chemical,is_active,CellCount,1,1,1_1,0.8629675810473816
chemical,is_active,MLP_CLOOME_arch,1,1,1_1,0.7502493765586035
