split_type,target,representation,repeat,fold,cv_cycle,auc
chemical,is_active_not_toxic,Morphology,0,0,0_0,0.8644412791571655
chemical,is_active_not_toxic,PhysChem,0,0,0_0,0.7268095068715316
chemical,is_active_not_toxic,LogP,0,0,0_0,0.6767275693346122
chemical,is_active_not_toxic,MorganFP,0,0,0_0,0.668444891183987
chemical,is_active_not_toxic,CLOOME,0,0,0_0,0.6511395563516411
chemical,is_active_not_toxic,CellCLIP,0,0,0_0,0.6697700244118812
chemical,is_active_not_toxic,CellCount,0,0,0_0,0.4908795528793528
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,0,0_0,0.6607500142914309
chemical,is_active_not_toxic,Morphology,0,1,0_1,0.8631568019343987
chemical,is_active_not_toxic,PhysChem,0,1,0_1,0.6863422518923465
chemical,is_active_not_toxic,LogP,0,1,0_1,0.6596054983179144
chemical,is_active_not_toxic,MorganFP,0,1,0_1,0.6553088204373423
chemical,is_active_not_toxic,CLOOME,0,1,0_1,0.6184919049621531
chemical,is_active_not_toxic,CellCLIP,0,1,0_1,0.6468763141295206
chemical,is_active_not_toxic,CellCount,0,1,0_1,0.48788057190916734
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,1,0_1,0.6450641295206057
chemical,is_active_not_toxic,Morphology,0,2,0_2,0.853205535728261
chemical,is_active_not_toxic,PhysChem,0,2,0_2,0.6936435503877133
chemical,is_active_not_toxic,LogP,0,2,0_2,0.6581558346743113
chemical,is_active_not_toxic,MorganFP,0,2,0_2,0.6494671287992736
chemical,is_active_not_toxic,CLOOME,0,2,0_2,0.6224692504210546
chemical,is_active_not_toxic,CellCLIP,0,2,0_2,0.6563420303030627
chemical,is_active_not_toxic,CellCount,0,2,0_2,0.4867304832773535
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,2,0_2,0.6480889858990948
chemical,is_active_not_toxic,Morphology,0,3,0_3,0.8688113619417323
chemical,is_active_not_toxic,PhysChem,0,3,0_3,0.7055382300344571
chemical,is_active_not_toxic,LogP,0,3,0_3,0.6671898074011303
chemical,is_active_not_toxic,MorganFP,0,3,0_3,0.6618062608652306
chemical,is_active_not_toxic,CLOOME,0,3,0_3,0.6325970938818236
chemical,is_active_not_toxic,CellCLIP,0,3,0_3,0.6569248255851386
chemical,is_active_not_toxic,CellCount,0,3,0_3,0.48523964259232716
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,3,0_3,0.6459399086541756
chemical,is_active_not_toxic,Morphology,0,4,0_4,0.8605650809622793
chemical,is_active_not_toxic,PhysChem,0,4,0_4,0.7027107468654423
chemical,is_active_not_toxic,LogP,0,4,0_4,0.6595241562843412
chemical,is_active_not_toxic,MorganFP,0,4,0_4,0.6487300242291041
chemical,is_active_not_toxic,CLOOME,0,4,0_4,0.6094286962623628
chemical,is_active_not_toxic,CellCLIP,0,4,0_4,0.6702005852056826
chemical,is_active_not_toxic,CellCount,0,4,0_4,0.49162732195580505
chemical,is_active_not_toxic,MLP_CLOOME_arch,0,4,0_4,0.650134650266785
chemical,is_active,Morphology,1,0,1_0,0.9442353844876265
chemical,is_active,PhysChem,1,0,1_0,0.7911909358910479
chemical,is_active,LogP,1,0,1_0,0.7032806012290317
chemical,is_active,MorganFP,1,0,1_0,0.7628415130377014
chemical,is_active,CLOOME,1,0,1_0,0.6668159358910479
chemical,is_active,CellCLIP,1,0,1_0,0.7329571499750872
chemical,is_active,CellCount,1,0,1_0,0.8455102972928085
chemical,is_active,MLP_CLOOME_arch,1,0,1_0,0.7520693198804186
chemical,is_active,Morphology,1,1,1_1,0.9478161468499522
chemical,is_active,PhysChem,1,1,1_1,0.7926145188753687
chemical,is_active,LogP,1,1,1_1,0.7099432077744092
chemical,is_active,MorganFP,1,1,1_1,0.7635148884920471
chemical,is_active,CLOOME,1,1,1_1,0.6827899829727149
chemical,is_active,CellCLIP,1,1,1_1,0.7402284148012791
chemical,is_active,CellCount,1,1,1_1,0.8441392914988164
chemical,is_active,MLP_CLOOME_arch,1,1,1_1,0.7573901532455666
chemical,is_active,Morphology,1,2,1_2,0.9433095260264772
chemical,is_active,PhysChem,1,2,1_2,0.8031675966785607
chemical,is_active,LogP,1,2,1_2,0.7197210255293253
chemical,is_active,MorganFP,1,2,1_2,0.7656473946919488
chemical,is_active,CLOOME,1,2,1_2,0.6769157801624806
chemical,is_active,CellCLIP,1,2,1_2,0.7442767273114231
chemical,is_active,CellCount,1,2,1_2,0.852335740390339
chemical,is_active,MLP_CLOOME_arch,1,2,1_2,0.7442148950993139
chemical,is_active,Morphology,1,3,1_3,0.9473022898848539
chemical,is_active,PhysChem,1,3,1_3,0.7989465067814447
chemical,is_active,LogP,1,3,1_3,0.7120243872861514
chemical,is_active,MorganFP,1,3,1_3,0.7629146050449065
chemical,is_active,CLOOME,1,3,1_3,0.6711229813272511
chemical,is_active,CellCLIP,1,3,1_3,0.7403423904872889
chemical,is_active,CellCount,1,3,1_3,0.854678922743277
chemical,is_active,MLP_CLOOME_arch,1,3,1_3,0.7454567144566995
chemical,is_active,Morphology,1,4,1_4,0.946634127818015
chemical,is_active,PhysChem,1,4,1_4,0.7944084448117114
chemical,is_active,LogP,1,4,1_4,0.71404066691345
chemical,is_active,MorganFP,1,4,1_4,0.7606404569398277
chemical,is_active,CLOOME,1,4,1_4,0.6587319986256575
chemical,is_active,CellCLIP,1,4,1_4,0.7385207287671756
chemical,is_active,CellCount,1,4,1_4,0.8586232311259513
chemical,is_active,MLP_CLOOME_arch,1,4,1_4,0.7440878964373865
chemical,is_active_and_toxic,Morphology,1,0,1_0,0.9755654599695935
chemical,is_active_and_toxic,PhysChem,1,0,1_0,0.72756999823107
chemical,is_active_and_toxic,LogP,1,0,1_0,0.6118704760811987
chemical,is_active_and_toxic,MorganFP,1,0,1_0,0.7117077464788732
chemical,is_active_and_toxic,CLOOME,1,0,1_0,0.6156324402627579
chemical,is_active_and_toxic,CellCLIP,1,0,1_0,0.6833361421072258
chemical,is_active_and_toxic,CellCount,1,0,1_0,0.9784301105342169
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,0,1_0,0.7036716650889725
chemical,is_active_and_toxic,Morphology,1,1,1_1,0.9799180809898497
chemical,is_active_and_toxic,PhysChem,1,1,1_1,0.7478635192830176
chemical,is_active_and_toxic,LogP,1,1,1_1,0.621546228667537
chemical,is_active_and_toxic,MorganFP,1,1,1_1,0.7247815297037271
chemical,is_active_and_toxic,CLOOME,1,1,1_1,0.6370108676475776
chemical,is_active_and_toxic,CellCLIP,1,1,1_1,0.7017671688837138
chemical,is_active_and_toxic,CellCount,1,1,1_1,0.9818169789351117
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,1,1_1,0.7129326770403304
chemical,is_active_and_toxic,Morphology,1,2,1_2,0.9749882268575933
chemical,is_active_and_toxic,PhysChem,1,2,1_2,0.7378588925889734
chemical,is_active_and_toxic,LogP,1,2,1_2,0.6130900835096649
chemical,is_active_and_toxic,MorganFP,1,2,1_2,0.7126522037063532
chemical,is_active_and_toxic,CLOOME,1,2,1_2,0.6142597227620458
chemical,is_active_and_toxic,CellCLIP,1,2,1_2,0.6821593304398144
chemical,is_active_and_toxic,CellCount,1,2,1_2,0.9784677479614942
chemical,is_active_and_toxic,MLP_CLOOME_arch,1,2,1_2,0.7109899170927492
