group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CLOOME,CellCLIP,-0.07319667527740126,-0.07936062225944082,-0.0670327282953617,0.001,True,-8.125705812513539,True,0.6592339224747087,144.0,chemical,is_active,25
CLOOME,LogP,-0.04089308424473459,-0.047057031226774154,-0.034729137262695026,0.001,True,-3.740184821011629,True,0.6592339224747087,144.0,chemical,is_active,25
CLOOME,MLP_CLOOME_arch,-0.07727900299027957,-0.08344294997231913,-0.07111505600824,0.001,True,-7.4820511045488525,True,0.6592339224747087,144.0,chemical,is_active,25
CLOOME,MorganFP,-0.08914923475789738,-0.09531318173993694,-0.08298528777585781,0.001,True,-9.316719658260718,True,0.6592339224747087,144.0,chemical,is_active,25
CLOOME,Morphology,-0.27415285687663205,-0.28031680385867164,-0.26798890989459245,0.001,True,-38.421680107985694,True,0.6592339224747087,144.0,chemical,is_active,25
CLOOME,PhysChem,-0.1289691863062623,-0.13513313328830187,-0.12280523932422274,0.001,True,-15.020176712746515,True,0.6592339224747087,144.0,chemical,is_active,25
CellCLIP,LogP,0.03230359103266667,0.026139644050627103,0.03846753801470623,0.001,True,3.0282546666969665,True,0.6592339224747087,144.0,chemical,is_active,25
CellCLIP,MLP_CLOOME_arch,-0.004082327712878309,-0.010246274694917873,0.0020816192691612565,0.4338155067203985,False,-0.40634177255586734,True,0.6592339224747087,144.0,chemical,is_active,25
CellCLIP,MorganFP,-0.01595255948049612,-0.022116506462535684,-0.009788612498456556,0.001,True,-1.7220724655484854,True,0.6592339224747087,144.0,chemical,is_active,25
CellCLIP,Morphology,-0.2009561815992308,-0.20712012858127035,-0.19479223461719122,0.001,True,-29.901438553340512,True,0.6592339224747087,144.0,chemical,is_active,25
CellCLIP,PhysChem,-0.05577251102886105,-0.061936458010900614,-0.049608564046821485,0.001,True,-6.764433508334868,True,0.6592339224747087,144.0,chemical,is_active,25
